covid,home_form,away_form,ranking_diff,home_win,Season
1,0.8,0.6,4.0,0,2020-2021
1,1.4,2.0,-9.0,1,2020-2021
1,2.0,1.6,24.0,1,2020-2021
1,1.6,1.2,-2.0,0,2020-2021
1,0.2,1.8,-5.0,1,2020-2021
1,0.4,0.4,14.0,1,2020-2021
1,0.8,0.8,-8.0,1,2020-2021
1,0.6,3.0,-30.0,0,2020-2021
1,0.8,2.2,-12.0,1,2020-2021
1,0.6,3.0,-32.0,0,2020-2021
1,0.4,2.4,-15.0,0,2020-2021
1,2.4,1.2,22.0,1,2020-2021
1,1.4,1.6,-8.0,0,2020-2021
1,2.4,0.8,20.0,0,2020-2021
1,3.0,2.0,26.0,0,2020-2021
1,0.8,0.4,15.0,0,2020-2021
1,0.2,0.6,0.0,0,2020-2021
1,2.0,1.0,10.0,0,2020-2021
1,1.2,1.4,12.0,0,2020-2021
1,3.0,0.8,24.0,0,2020-2021
1,1.2,0.2,-1.0,0,2020-2021
1,0.4,1.2,5.0,1,2020-2021
1,1.0,2.4,-21.0,0,2020-2021
1,2.0,1.6,0.0,0,2020-2021
1,0.8,1.0,-15.0,0,2020-2021
1,1.4,1.0,-3.0,1,2020-2021
1,1.2,0.0,22.0,1,2020-2021
1,0.6,1.4,-6.0,0,2020-2021
1,1.2,0.8,-15.0,1,2020-2021
1,1.0,0.8,-6.0,0,2020-2021
1,2.2,2.6,-32.0,0,2020-2021
1,2.4,2.6,5.0,0,2020-2021
1,1.2,1.6,-2.0,1,2020-2021
1,0.4,0.6,9.0,0,2020-2021
1,0.2,1.4,-5.0,0,2020-2021
1,0.0,1.8,-39.0,0,2020-2021
1,2.6,1.0,21.0,1,2020-2021
1,1.0,1.8,-5.0,0,2020-2021
1,1.0,2.2,-7.0,1,2020-2021
1,1.8,1.0,1.0,0,2020-2021
1,1.2,2.0,-8.0,0,2020-2021
1,2.6,1.0,29.0,0,2020-2021
1,1.2,2.4,-17.0,0,2020-2021
1,1.0,0.0,16.0,1,2020-2021
1,2.0,0.4,18.0,1,2020-2021
1,1.4,0.6,5.0,0,2020-2021
1,1.2,2.0,7.0,1,2020-2021
1,1.6,1.4,-11.0,0,2020-2021
1,0.2,2.4,-24.0,0,2020-2021
1,2.2,1.2,20.0,1,2020-2021
1,2.2,1.4,13.0,0,2020-2021
1,1.2,0.8,-7.0,0,2020-2021
1,1.2,2.6,-25.0,1,2020-2021
1,1.2,0.2,1.0,1,2020-2021
1,1.2,2.0,-25.0,0,2020-2021
1,1.0,1.4,9.0,0,2020-2021
1,1.6,1.4,8.0,1,2020-2021
1,2.0,2.2,-15.0,0,2020-2021
1,0.0,0.2,-18.0,0,2020-2021
1,1.8,1.2,3.0,0,2020-2021
1,1.0,1.2,-8.0,0,2020-2021
1,0.0,1.6,5.0,1,2020-2021
1,2.0,2.2,-7.0,0,2020-2021
1,2.4,1.0,36.0,0,2020-2021
1,1.4,1.6,-23.0,0,2020-2021
1,1.4,0.6,1.0,0,2020-2021
1,1.4,1.6,-9.0,1,2020-2021
1,1.6,1.8,-12.0,0,2020-2021
1,0.8,1.0,-5.0,0,2020-2021
1,0.0,1.4,-20.0,0,2020-2021
1,1.8,0.8,5.0,1,2020-2021
1,1.6,1.0,-1.0,0,2020-2021
1,1.8,1.6,37.0,0,2020-2021
1,1.6,1.8,0.0,0,2020-2021
1,2.0,1.4,17.0,1,2020-2021
1,1.8,1.6,0.0,0,2020-2021
1,2.2,1.6,-12.0,0,2020-2021
1,1.2,1.8,-4.0,0,2020-2021
1,0.6,1.0,3.0,0,2020-2021
1,1.2,0.8,-6.0,1,2020-2021
1,1.2,2.0,-11.0,0,2020-2021
1,1.8,1.2,-6.0,0,2020-2021
1,1.6,0.8,-4.0,0,2020-2021
1,1.4,0.0,30.0,1,2020-2021
1,0.8,1.6,-24.0,0,2020-2021
1,1.4,1.8,-27.0,0,2020-2021
1,1.4,1.8,-3.0,0,2020-2021
1,1.4,1.0,17.0,1,2020-2021
1,0.8,1.0,6.0,0,2020-2021
1,1.8,1.8,17.0,1,2020-2021
1,2.6,1.8,3.0,0,2020-2021
1,1.2,0.6,0.0,1,2020-2021
1,2.0,0.0,47.0,1,2020-2021
1,1.2,1.2,20.0,1,2020-2021
1,2.0,1.4,23.0,0,2020-2021
1,1.0,2.0,-7.0,0,2020-2021
1,2.0,1.2,17.0,1,2020-2021
1,1.8,1.8,27.0,1,2020-2021
1,1.0,2.2,-16.0,0,2020-2021
1,0.0,2.2,-28.0,1,2020-2021
1,1.0,1.2,-6.0,0,2020-2021
1,1.8,0.2,-2.0,0,2020-2021
1,0.6,2.0,-29.0,0,2020-2021
1,0.8,1.6,-36.0,0,2020-2021
1,1.4,2.0,-11.0,0,2020-2021
1,1.8,0.6,2.0,0,2020-2021
1,0.4,1.8,-26.0,0,2020-2021
1,1.6,1.4,-4.0,1,2020-2021
1,1.8,1.2,22.0,1,2020-2021
1,1.0,0.6,-4.0,1,2020-2021
1,2.6,0.6,33.0,1,2020-2021
1,0.8,0.8,9.0,0,2020-2021
1,0.4,2.6,-27.0,0,2020-2021
1,1.6,1.6,-3.0,0,2020-2021
1,2.0,0.8,18.0,0,2020-2021
1,2.4,2.2,16.0,1,2020-2021
1,2.0,2.0,27.0,1,2020-2021
1,0.0,2.6,-18.0,1,2020-2021
1,1.2,0.8,9.0,0,2020-2021
1,0.6,0.2,-25.0,0,2020-2021
1,1.4,0.4,-6.0,1,2020-2021
1,1.0,1.2,-10.0,0,2020-2021
1,1.2,1.2,8.0,0,2020-2021
1,3.0,1.4,4.0,0,2020-2021
1,1.6,2.6,-20.0,0,2020-2021
1,1.2,0.6,-5.0,1,2020-2021
1,2.0,1.8,32.0,1,2020-2021
1,1.8,2.2,-14.0,1,2020-2021
1,0.2,0.6,23.0,1,2020-2021
1,0.8,0.6,14.0,0,2020-2021
1,1.4,1.0,6.0,1,2020-2021
1,1.0,0.6,-9.0,0,2020-2021
1,0.8,2.4,-29.0,0,2020-2021
1,2.0,2.4,-21.0,0,2020-2021
1,0.6,1.4,-17.0,1,2020-2021
1,0.6,1.8,-19.0,0,2020-2021
1,2.6,1.8,34.0,0,2020-2021
1,1.2,0.8,-8.0,1,2020-2021
1,1.6,0.6,12.0,1,2020-2021
1,2.4,2.0,19.0,1,2020-2021
1,1.0,1.0,10.0,0,2020-2021
1,1.4,0.4,11.0,0,2020-2021
1,1.2,2.4,-38.0,0,2020-2021
1,2.6,0.6,34.0,1,2020-2021
1,0.6,2.2,-36.0,0,2020-2021
1,1.0,2.6,-38.0,0,2020-2021
1,0.8,2.4,-21.0,0,2020-2021
1,2.4,1.2,27.0,0,2020-2021
1,0.8,2.0,-13.0,0,2020-2021
1,2.4,1.0,-11.0,0,2020-2021
1,0.4,1.2,0.0,0,2020-2021
1,1.4,1.0,20.0,1,2020-2021
1,1.4,0.6,28.0,0,2020-2021
1,1.0,1.8,0.0,0,2020-2021
0,1.0,1.0,0.0,1,2021-2022
0,1.0,1.0,0.0,0,2021-2022
0,3.0,0.0,3.0,1,2021-2022
0,3.0,1.0,2.0,1,2021-2022
0,1.0,1.0,0.0,0,2021-2022
0,3.0,0.0,3.0,1,2021-2022
0,1.0,1.0,0.0,1,2021-2022
0,1.0,0.0,1.0,0,2021-2022
0,1.0,1.0,0.0,0,2021-2022
0,3.0,0.0,3.0,0,2021-2022
0,1.0,3.0,-4.0,0,2021-2022
0,0.5,1.0,-1.0,0,2021-2022
0,1.0,0.5,1.0,0,2021-2022
0,0.5,3.0,-5.0,0,2021-2022
0,0.5,3.0,-5.0,0,2021-2022
0,0.5,1.0,-1.0,0,2021-2022
0,0.5,2.0,-3.0,1,2021-2022
0,0.0,0.0,0.0,0,2021-2022
0,1.0,2.0,-2.0,1,2021-2022
0,1.3333333333333333,0.6666666666666666,2.0,0,2021-2022
0,2.0,0.6666666666666666,2.0,1,2021-2022
0,2.0,1.0,1.0,1,2021-2022
0,0.3333333333333333,0.3333333333333333,0.0,0,2021-2022
0,2.3333333333333335,1.6666666666666667,2.0,1,2021-2022
0,2.3333333333333335,0.6666666666666666,5.0,0,2021-2022
0,1.6666666666666667,1.3333333333333333,1.0,0,2021-2022
0,0.3333333333333333,0.6666666666666666,-1.0,1,2021-2022
0,0.6666666666666666,1.3333333333333333,-2.0,1,2021-2022
0,1.0,3.0,-6.0,0,2021-2022
0,1.25,1.25,0.0,1,2021-2022
0,3.0,2.0,4.0,1,2021-2022
0,1.0,2.3333333333333335,-3.0,0,2021-2022
0,1.0,0.75,1.0,1,2021-2022
0,0.5,1.5,-4.0,0,2021-2022
0,0.5,2.5,-8.0,0,2021-2022
0,0.75,0.25,2.0,0,2021-2022
0,1.25,0.75,2.0,0,2021-2022
0,1.0,2.3333333333333335,-3.0,0,2021-2022
0,1.25,1.0,1.0,1,2021-2022
0,0.8,0.6,1.0,1,2021-2022
0,1.8,1.0,4.0,1,2021-2022
0,0.6,0.4,1.0,0,2021-2022
0,2.5,0.8,6.0,0,2021-2022
0,2.2,0.8,7.0,0,2021-2022
0,1.6,0.6,5.0,0,2021-2022
0,1.2,1.6,-2.0,0,2021-2022
0,0.8,1.4,-3.0,0,2021-2022
0,2.5,1.0,5.0,1,2021-2022
0,3.0,1.6,7.0,1,2021-2022
0,0.8,1.2,-2.0,1,2021-2022
0,0.8,0.4,2.0,1,2021-2022
0,1.6,1.0,3.0,0,2021-2022
0,1.2,0.6,3.0,1,2021-2022
0,0.8,1.2,-4.0,1,2021-2022
0,1.6,2.6,-2.0,0,2021-2022
0,2.2,1.4,5.0,0,2021-2022
0,1.6,2.2,-2.0,1,2021-2022
0,1.4,1.0,3.0,1,2021-2022
0,0.4,3.0,-15.0,0,2021-2022
0,0.2,2.0,-8.0,0,2021-2022
0,2.0,1.4,2.0,0,2021-2022
0,2.0,1.6,-1.0,0,2021-2022
0,3.0,1.6,12.0,1,2021-2022
0,1.0,1.2,-2.0,0,2021-2022
0,0.4,0.4,1.0,0,2021-2022
0,1.0,1.2,-3.0,1,2021-2022
0,1.0,1.2,-7.0,0,2021-2022
0,0.6,1.4,1.0,0,2021-2022
0,2.2,2.0,2.0,0,2021-2022
0,2.0,1.4,5.0,1,2021-2022
0,1.0,1.8,-1.0,0,2021-2022
0,2.0,0.4,10.0,1,2021-2022
0,0.8,3.0,-15.0,1,2021-2022
0,1.2,0.8,7.0,1,2021-2022
0,1.8,0.4,4.0,0,2021-2022
0,2.0,1.0,4.0,1,2021-2022
0,1.2,1.0,4.0,1,2021-2022
0,1.8,2.0,-3.0,1,2021-2022
0,0.0,2.0,-9.0,0,2021-2022
0,2.4,1.2,8.0,1,2021-2022
0,0.4,1.8,-4.0,1,2021-2022
0,1.6,2.0,-1.0,1,2021-2022
0,1.0,2.0,-11.0,1,2021-2022
0,1.0,1.8,-6.0,0,2021-2022
0,0.4,1.4,-6.0,0,2021-2022
0,0.6,1.4,-6.0,0,2021-2022
0,1.4,0.2,7.0,1,2021-2022
0,1.2,2.4,-8.0,1,2021-2022
0,1.4,1.8,0.0,1,2021-2022
0,0.2,1.0,-12.0,0,2021-2022
0,2.0,1.0,1.0,1,2021-2022
0,1.8,0.4,9.0,0,2021-2022
0,1.4,1.6,1.0,1,2021-2022
0,1.8,0.6,12.0,1,2021-2022
0,1.2,1.2,6.0,0,2021-2022
0,1.0,1.0,2.0,0,2021-2022
0,2.0,2.0,1.0,1,2021-2022
0,2.0,1.2,1.0,1,2021-2022
0,1.4,2.4,-10.0,0,2021-2022
0,1.8,1.0,2.0,0,2021-2022
0,2.0,2.0,13.0,1,2021-2022
0,0.6,0.4,1.0,0,2021-2022
0,1.6,1.8,-5.0,1,2021-2022
0,1.2,2.0,-4.0,0,2021-2022
0,0.8,0.8,-2.0,1,2021-2022
0,1.0,2.0,-4.0,1,2021-2022
0,1.4,1.2,-1.0,1,2021-2022
0,1.4,2.6,-6.0,0,2021-2022
0,0.4,2.4,-11.0,1,2021-2022
0,0.8,1.0,-6.0,0,2021-2022
0,1.8,1.6,8.0,1,2021-2022
0,1.4,1.0,-2.0,0,2021-2022
0,1.2,2.0,-19.0,0,2021-2022
0,1.6,0.8,15.0,0,2021-2022
0,0.6,1.0,6.0,0,2021-2022
0,1.4,1.4,0.0,0,2021-2022
0,0.8,1.8,-6.0,0,2021-2022
0,0.6,0.8,-7.0,1,2021-2022
0,2.0,1.4,8.0,0,2021-2022
0,2.2,1.6,0.0,1,2021-2022
0,1.4,1.0,2.0,0,2021-2022
0,2.0,1.6,16.0,1,2021-2022
0,2.6,2.0,3.0,1,2021-2022
0,1.6,1.8,-12.0,1,2021-2022
0,1.0,0.4,3.0,1,2021-2022
0,0.4,1.0,-4.0,0,2021-2022
0,1.6,0.4,6.0,0,2021-2022
0,1.4,1.2,4.0,0,2021-2022
0,0.8,1.4,-11.0,0,2021-2022
0,1.2,1.0,3.0,0,2021-2022
0,0.6,1.0,-1.0,0,2021-2022
0,2.0,0.6,18.0,0,2021-2022
0,1.6,2.6,-25.0,0,2021-2022
0,1.2,2.2,-2.0,0,2021-2022
0,0.2,2.6,-10.0,0,2021-2022
0,1.0,1.6,0.0,0,2021-2022
0,0.6,0.6,0.0,1,2021-2022
0,1.8,1.4,0.0,0,2021-2022
0,1.8,1.4,10.0,1,2021-2022
0,1.2,1.2,2.0,0,2021-2022
0,2.6,1.6,6.0,1,2021-2022
0,1.2,1.2,-7.0,0,2021-2022
0,1.2,1.0,7.0,1,2021-2022
0,0.8,0.2,-2.0,1,2021-2022
0,0.0,1.4,-12.0,0,2021-2022
0,1.8,1.0,6.0,0,2021-2022
0,1.0,1.8,-7.0,0,2021-2022
0,2.6,1.4,13.0,0,2021-2022
0,2.6,0.8,10.0,0,2021-2022
0,2.2,3.0,8.0,0,2021-2022
0,1.2,0.8,5.0,1,2021-2022
0,1.0,2.6,-15.0,0,2021-2022
0,1.4,2.0,-16.0,0,2021-2022
0,0.0,0.4,-4.0,0,2021-2022
0,1.2,1.2,11.0,1,2021-2022
0,1.8,0.2,8.0,1,2021-2022
0,1.6,1.0,-3.0,0,2021-2022
0,1.4,1.8,5.0,0,2021-2022
0,0.8,1.2,-9.0,0,2021-2022
0,1.0,1.2,-5.0,1,2021-2022
0,3.0,1.8,-1.0,0,2021-2022
0,1.6,1.2,7.0,1,2021-2022
0,1.8,1.4,1.0,0,2021-2022
0,1.6,0.2,11.0,0,2021-2022
0,1.0,0.0,-3.0,1,2021-2022
0,2.4,0.8,3.0,0,2021-2022
0,0.6,0.4,2.0,0,2021-2022
0,1.8,2.0,-3.0,0,2021-2022
0,2.2,1.8,16.0,1,2021-2022
0,1.0,1.8,-8.0,0,2021-2022
0,0.0,2.2,-30.0,0,2021-2022
0,1.0,1.4,9.0,0,2021-2022
0,2.0,2.0,10.0,0,2021-2022
0,1.6,1.8,-5.0,1,2021-2022
0,1.8,1.4,3.0,1,2021-2022
0,1.4,0.6,4.0,1,2021-2022
0,0.6,1.4,-13.0,0,2021-2022
0,0.6,2.4,-8.0,0,2021-2022
0,0.8,2.0,-16.0,0,2021-2022
0,0.6,1.2,-4.0,1,2021-2022
0,2.0,1.4,-9.0,0,2021-2022
0,0.8,2.0,-6.0,0,2021-2022
0,1.4,1.6,-10.0,0,2021-2022
0,2.0,2.0,-1.0,0,2021-2022
0,1.2,1.8,-21.0,0,2021-2022
0,2.0,2.0,8.0,1,2021-2022
0,0.0,1.0,-18.0,0,2021-2022
0,1.4,1.4,22.0,1,2021-2022
0,0.6,0.8,14.0,1,2021-2022
0,0.2,0.8,-9.0,0,2021-2022
0,2.0,1.0,12.0,1,2021-2022
0,1.6,0.8,8.0,0,2021-2022
0,2.0,2.4,-2.0,1,2021-2022
0,0.8,0.8,-9.0,0,2021-2022
0,2.0,2.2,8.0,0,2021-2022
0,1.0,2.4,-14.0,0,2021-2022
0,2.2,0.4,12.0,1,2021-2022
0,2.4,0.8,14.0,0,2021-2022
0,1.4,0.0,17.0,1,2021-2022
0,0.8,2.2,-7.0,1,2021-2022
0,1.4,1.6,-4.0,0,2021-2022
0,1.4,2.4,-21.0,0,2021-2022
0,0.8,0.8,6.0,1,2021-2022
0,0.8,2.4,-18.0,1,2021-2022
0,0.8,1.2,-16.0,1,2021-2022
0,2.0,0.4,12.0,1,2021-2022
0,1.8,2.0,-2.0,1,2021-2022
0,1.8,1.0,26.0,1,2021-2022
0,1.4,0.0,17.0,0,2021-2022
0,1.8,2.2,-8.0,1,2021-2022
0,1.6,0.8,11.0,1,2021-2022
0,0.6,1.8,-19.0,1,2021-2022
0,1.4,2.2,-2.0,1,2021-2022
0,0.4,1.2,-16.0,1,2021-2022
0,3.0,1.4,22.0,0,2021-2022
0,1.0,1.2,4.0,1,2021-2022
0,1.8,2.0,3.0,1,2021-2022
0,0.8,1.4,1.0,0,2021-2022
0,0.6,0.8,6.0,1,2021-2022
0,1.6,2.2,-21.0,0,2021-2022
0,2.2,1.2,19.0,1,2021-2022
0,1.2,1.4,2.0,0,2021-2022
0,2.0,2.4,-8.0,1,2021-2022
0,2.0,1.0,16.0,0,2021-2022
0,0.8,2.4,-9.0,0,2021-2022
0,0.8,1.0,7.0,1,2021-2022
0,1.4,1.2,6.0,0,2021-2022
0,1.4,1.0,5.0,1,2021-2022
0,1.2,0.6,13.0,1,2021-2022
0,1.0,2.0,-23.0,0,2021-2022
0,1.4,0.8,15.0,0,2021-2022
0,1.8,2.4,-2.0,0,2021-2022
0,1.4,2.6,-24.0,1,2021-2022
0,1.8,0.8,14.0,1,2021-2022
0,1.0,0.6,-13.0,0,2021-2022
0,0.8,1.2,-4.0,0,2021-2022
0,1.2,0.8,16.0,1,2021-2022
0,1.8,2.4,-20.0,0,2021-2022
0,0.6,1.6,-17.0,0,2021-2022
0,2.0,1.2,22.0,0,2021-2022
0,1.2,1.8,-3.0,0,2021-2022
0,2.0,1.8,-4.0,0,2021-2022
0,2.4,2.0,37.0,1,2021-2022
0,1.6,0.8,10.0,0,2021-2022
0,0.6,1.4,-8.0,0,2021-2022
0,1.4,0.8,11.0,0,2021-2022
0,1.8,0.8,6.0,0,2021-2022
0,1.0,1.8,-17.0,0,2021-2022
0,0.8,1.8,-25.0,0,2021-2022
0,2.0,1.4,3.0,0,2021-2022
0,1.4,1.4,-15.0,0,2021-2022
0,1.4,1.4,8.0,0,2021-2022
0,1.4,2.4,-15.0,1,2021-2022
0,2.0,0.6,0.0,1,2021-2022
0,1.0,0.4,0.0,0,2021-2022
0,2.0,1.2,2.0,1,2021-2022
0,1.4,1.6,-12.0,0,2021-2022
0,1.8,0.0,14.0,1,2021-2022
0,1.4,2.0,11.0,1,2021-2022
0,1.4,1.0,9.0,0,2021-2022
0,2.0,2.0,17.0,0,2021-2022
0,0.6,1.4,-13.0,0,2021-2022
0,1.0,2.0,-17.0,1,2021-2022
0,1.8,0.4,40.0,1,2021-2022
0,0.0,1.6,-3.0,0,2021-2022
0,1.4,1.4,4.0,0,2021-2022
0,0.6,1.4,-18.0,0,2021-2022
0,1.8,1.6,3.0,1,2021-2022
0,1.4,2.4,-4.0,0,2021-2022
0,1.4,1.4,-12.0,0,2021-2022
0,1.6,1.4,-2.0,0,2021-2022
0,1.6,0.8,13.0,1,2021-2022
0,2.0,2.2,-1.0,0,2021-2022
0,1.0,1.8,-24.0,1,2021-2022
0,0.0,1.4,-6.0,1,2021-2022
0,0.4,0.8,-16.0,0,2021-2022
0,1.4,1.8,-20.0,0,2021-2022
0,2.4,0.6,26.0,1,2021-2022
0,1.6,1.4,-7.0,0,2021-2022
0,1.4,1.6,-1.0,1,2021-2022
0,1.6,3.0,-1.0,0,2021-2022
0,2.2,0.4,24.0,0,2021-2022
0,1.4,1.6,4.0,1,2021-2022
0,0.8,1.4,-14.0,0,2021-2022
0,0.6,1.4,-21.0,0,2021-2022
0,1.4,0.8,6.0,0,2021-2022
0,1.2,1.4,-26.0,0,2021-2022
0,1.6,1.8,-7.0,1,2021-2022
0,1.0,0.6,11.0,1,2021-2022
0,1.2,1.4,37.0,1,2021-2022
0,1.4,1.0,1.0,1,2021-2022
0,1.6,2.6,-17.0,0,2021-2022
0,0.2,1.8,-40.0,0,2021-2022
0,0.4,0.4,0.0,1,2021-2022
0,0.6,2.2,-15.0,0,2021-2022
0,1.2,1.4,-7.0,0,2021-2022
0,1.8,2.2,15.0,1,2021-2022
0,1.4,1.2,-8.0,1,2021-2022
0,1.8,1.4,5.0,0,2021-2022
0,2.0,0.8,15.0,1,2021-2022
0,2.6,2.4,6.0,0,2021-2022
0,1.0,1.4,-12.0,1,2021-2022
0,1.8,1.4,1.0,0,2021-2022
0,1.0,1.4,21.0,1,2021-2022
0,0.2,0.0,-5.0,0,2021-2022
0,0.8,1.0,5.0,0,2021-2022
0,1.4,0.8,13.0,0,2021-2022
0,2.0,1.8,-20.0,0,2021-2022
0,1.6,0.8,21.0,1,2021-2022
0,1.8,2.4,12.0,1,2021-2022
0,0.8,1.0,-4.0,0,2021-2022
0,1.4,0.4,7.0,1,2021-2022
0,2.4,1.0,-2.0,1,2021-2022
0,1.0,1.2,-11.0,1,2021-2022
0,1.6,0.2,4.0,0,2021-2022
0,1.0,2.4,-40.0,0,2021-2022
0,0.8,1.6,-11.0,1,2021-2022
0,2.0,1.0,8.0,1,2021-2022
0,2.4,1.0,12.0,1,2021-2022
0,1.8,2.0,-3.0,1,2021-2022
0,1.6,0.8,8.0,1,2021-2022
0,1.0,3.0,-25.0,0,2021-2022
0,2.4,2.4,24.0,0,2021-2022
0,1.4,1.4,22.0,1,2021-2022
0,0.8,1.0,-2.0,0,2021-2022
0,0.2,1.4,-18.0,0,2021-2022
0,1.0,1.0,20.0,1,2021-2022
0,0.8,1.0,22.0,1,2021-2022
0,1.0,1.8,-8.0,1,2021-2022
0,1.0,2.4,-22.0,0,2021-2022
0,1.6,2.6,-22.0,0,2021-2022
0,2.0,1.6,4.0,0,2021-2022
0,1.4,0.8,28.0,1,2021-2022
0,0.8,1.0,-18.0,1,2021-2022
0,2.0,1.0,12.0,1,2021-2022
0,1.2,0.8,-6.0,0,2021-2022
0,3.0,0.6,24.0,1,2021-2022
0,0.2,0.2,18.0,0,2021-2022
0,1.0,1.4,-31.0,0,2021-2022
0,2.4,2.0,12.0,0,2021-2022
0,0.8,3.0,-11.0,0,2021-2022
0,2.0,1.2,-9.0,0,2021-2022
0,0.4,2.0,-31.0,1,2021-2022
0,0.6,0.8,8.0,1,2021-2022
0,1.0,0.4,-10.0,1,2021-2022
0,1.4,2.2,-12.0,0,2021-2022
0,1.2,1.8,-31.0,0,2021-2022
0,2.2,0.8,43.0,0,2021-2022
0,1.8,0.8,30.0,1,2021-2022
0,1.2,1.8,-11.0,1,2021-2022
0,0.2,0.6,-7.0,0,2021-2022
0,1.8,1.6,2.0,1,2021-2022
0,1.0,1.0,-10.0,1,2021-2022
0,3.0,1.8,17.0,1,2021-2022
0,0.4,1.8,-37.0,0,2021-2022
0,2.4,0.6,13.0,0,2021-2022
0,1.2,1.8,-6.0,1,2021-2022
0,0.8,1.4,-12.0,0,2021-2022
0,1.6,1.6,24.0,1,2021-2022
0,1.0,2.2,-21.0,0,2021-2022
0,0.8,0.2,-5.0,1,2021-2022
0,1.8,0.4,20.0,0,2021-2022
0,1.4,1.8,-23.0,0,2021-2022
0,2.2,3.0,-7.0,0,2021-2022
0,1.2,1.8,-11.0,0,2021-2022
0,0.8,0.8,-2.0,0,2021-2022
0,1.8,2.0,5.0,1,2021-2022
0,1.4,0.2,23.0,0,2021-2022
0,1.8,1.4,52.0,1,2021-2022
0,1.8,1.8,-18.0,0,2021-2022
